Date,inpatient_care_num,released_from_treatment_num,to_be_confirmed,Prefecture,Prefecture_code
2021-09-18,1295,56925,36,Hokkaido,JP-01
2021-09-19,1259,57045,45,Hokkaido,JP-01
2021-09-20,1214,57152,58,Hokkaido,JP-01
2021-09-21,1156,57355,167,Hokkaido,JP-01
2021-09-22,989,57561,149,Hokkaido,JP-01
2021-09-23,839,57719,82,Hokkaido,JP-01
2021-09-24,757,57825,43,Hokkaido,JP-01
2021-09-25,714,57961,73,Hokkaido,JP-01
2021-09-26,641,58006,9,Hokkaido,JP-01
2021-09-27,650,58091,67,Hokkaido,JP-01
2021-09-28,583,58185,68,Hokkaido,JP-01
2021-09-29,515,58262,32,Hokkaido,JP-01
2021-09-30,483,58332,44,Hokkaido,JP-01
2021-10-01,439,58394,30,Hokkaido,JP-01
2021-10-02,409,58454,35,Hokkaido,JP-01
2021-10-03,374,58483,20,Hokkaido,JP-01
2021-10-04,354,58519,31,Hokkaido,JP-01
2021-10-05,323,58588,50,Hokkaido,JP-01
2021-10-06,273,58619,15,Hokkaido,JP-01
2021-10-07,258,58658,26,Hokkaido,JP-01
2021-10-08,232,58698,19,Hokkaido,JP-01
2021-10-09,213,58729,7,Hokkaido,JP-01
2021-10-10,206,58751,5,Hokkaido,JP-01
2021-10-11,201,58776,9,Hokkaido,JP-01
2021-10-12,192,58801,9,Hokkaido,JP-01
2021-10-13,183,58825,3,Hokkaido,JP-01
2021-10-14,180,58838,32,Hokkaido,JP-01
