date,pref_no,Prefecture,Area,cases,Prefecture_code
2021-01-08,1,Hokkaido,北海道地方,181,JP-01
2021-01-09,1,Hokkaido,北海道地方,215,JP-01
2021-01-10,1,Hokkaido,北海道地方,188,JP-01
2021-01-11,1,Hokkaido,北海道地方,135,JP-01
2021-01-12,1,Hokkaido,北海道地方,145,JP-01
2021-01-13,1,Hokkaido,北海道地方,109,JP-01
2021-01-14,1,Hokkaido,北海道地方,194,JP-01
2021-01-15,1,Hokkaido,北海道地方,202,JP-01
2021-01-16,1,Hokkaido,北海道地方,192,JP-01
2021-01-17,1,Hokkaido,北海道地方,124,JP-01
2021-01-18,1,Hokkaido,北海道地方,125,JP-01
2021-01-19,1,Hokkaido,北海道地方,92,JP-01
2021-01-20,1,Hokkaido,北海道地方,164,JP-01
2021-01-21,1,Hokkaido,北海道地方,130,JP-01
2021-01-22,1,Hokkaido,北海道地方,111,JP-01
2021-01-23,1,Hokkaido,北海道地方,138,JP-01
2021-01-24,1,Hokkaido,北海道地方,94,JP-01
2021-01-25,1,Hokkaido,北海道地方,88,JP-01
2021-01-26,1,Hokkaido,北海道地方,106,JP-01
2021-01-27,1,Hokkaido,北海道地方,147,JP-01
2021-01-28,1,Hokkaido,北海道地方,115,JP-01
2021-01-29,1,Hokkaido,北海道地方,111,JP-01
2021-01-30,1,Hokkaido,北海道地方,106,JP-01
2021-01-31,1,Hokkaido,北海道地方,104,JP-01
2021-02-01,1,Hokkaido,北海道地方,76,JP-01
2021-02-02,1,Hokkaido,北海道地方,105,JP-01
2021-02-03,1,Hokkaido,北海道地方,94,JP-01
2021-02-04,1,Hokkaido,北海道地方,120,JP-01
2021-02-05,1,Hokkaido,北海道地方,93,JP-01
2021-02-06,1,Hokkaido,北海道地方,78,JP-01
2021-02-07,1,Hokkaido,北海道地方,69,JP-01
2021-02-08,1,Hokkaido,北海道地方,50,JP-01
2021-02-09,1,Hokkaido,北海道地方,41,JP-01
2021-02-10,1,Hokkaido,北海道地方,64,JP-01
2021-02-11,1,Hokkaido,北海道地方,92,JP-01
2021-02-12,1,Hokkaido,北海道地方,75,JP-01
2021-02-13,1,Hokkaido,北海道地方,39,JP-01
2021-02-14,1,Hokkaido,北海道地方,52,JP-01
2021-02-15,1,Hokkaido,北海道地方,41,JP-01
2021-02-16,1,Hokkaido,北海道地方,44,JP-01
2021-02-17,1,Hokkaido,北海道地方,64,JP-01
2021-02-18,1,Hokkaido,北海道地方,32,JP-01
2021-02-19,1,Hokkaido,北海道地方,43,JP-01
2021-02-20,1,Hokkaido,北海道地方,34,JP-01
2021-02-21,1,Hokkaido,北海道地方,63,JP-01
2021-02-22,1,Hokkaido,北海道地方,21,JP-01
2021-02-23,1,Hokkaido,北海道地方,66,JP-01
2021-02-24,1,Hokkaido,北海道地方,43,JP-01
2021-02-25,1,Hokkaido,北海道地方,43,JP-01
2021-02-26,1,Hokkaido,北海道地方,36,JP-01
2021-02-27,1,Hokkaido,北海道地方,43,JP-01
2021-02-28,1,Hokkaido,北海道地方,27,JP-01
2021-03-01,1,Hokkaido,北海道地方,29,JP-01
2021-03-02,1,Hokkaido,北海道地方,29,JP-01
2021-03-03,1,Hokkaido,北海道地方,60,JP-01
2021-03-04,1,Hokkaido,北海道地方,66,JP-01
2021-03-05,1,Hokkaido,北海道地方,64,JP-01
2021-03-06,1,Hokkaido,北海道地方,47,JP-01
2021-03-07,1,Hokkaido,北海道地方,84,JP-01
2021-03-08,1,Hokkaido,北海道地方,63,JP-01
2021-03-09,1,Hokkaido,北海道地方,63,JP-01
2021-03-10,1,Hokkaido,北海道地方,65,JP-01
2021-03-11,1,Hokkaido,北海道地方,71,JP-01
2021-03-12,1,Hokkaido,北海道地方,53,JP-01
2021-03-13,1,Hokkaido,北海道地方,58,JP-01
2021-03-14,1,Hokkaido,北海道地方,45,JP-01
2021-03-15,1,Hokkaido,北海道地方,54,JP-01
